"sourceID","source"
"1","3D printing"
"2","AOL"
"3","Accounting services"
"4","Acoustic components"
"5","Adhesives"
"6","Advertising"
"7","Aerospace"
"8","Agribusiness"
"9","Agriculture"
"10","Agrochemicals"
"11","Air compressors"
"12","Airbnb"
"13","Aircraft leasing"
"14","Airline"
"15","Airlines"
"16","Airport"
"17","Airport management"
"18","Airports"
"19","Alcohol"
"20","Alcoholic beverages"
"21","Aldi"
"22","Aluminium"
"23","Aluminum"
"24","Aluminum products"
"25","Amazon"
"26","Amusement parks"
"27","Animal health"
"28","Apparel"
"29","Apple"
"30","Appliances"
"31","Art"
"32","Art collection"
"33","Asset management"
"34","Auto dealers"
"35","Auto dealerships"
"36","Auto loans"
"37","Auto parts"
"38","Auto repair"
"39","Automobiles"
"40","Automotive"
"41","Automotive brakes"
"42","Automotive technology"
"43","Autoparts"
"44","Aviation"
"45","BMW"
"46","Bakeries"
"47","Bakery chain"
"48","Baltimore Ravens"
"49","Banking"
"50","Banks"
"51","Bars"
"52","Baseball"
"53","Basketball"
"54","Batteries"
"55","Battery components"
"56","Battery separators"
"57","Beauty products"
"58","Beef packing"
"59","Beef processing"
"60","Beer"
"61","Beer distribution"
"62","Berkshire Hathaway"
"63","Best Buy"
"64","Beverages"
"65","Billboards"
"66","Bio-Pharma"
"67","Biochemicals"
"68","Biomedical products"
"69","Biopharmaceuticals"
"70","Biotech"
"71","Biotech and investments"
"72","Biotech investing"
"73","Biotechnology"
"74","Blockchain"
"75","Blockchain technology"
"76","Bloomberg LP"
"77","Book distribution"
"78","Brakes"
"79","Brewery"
"80","Budget airline"
"81","Building"
"82","Building materials"
"83","Building supplies"
"84","Business software"
"85","Cable"
"86","Cable TV"
"87","Cable television"
"88","Cables & wires"
"89","Call centers"
"90","Campbell Soup"
"91","Candy"
"92","Car dealerships"
"93","Car rentals"
"94","Carbon fiber products"
"95","Cargill"
"96","Carnival Cruises"
"97","Carpet"
"98","Cars"
"99","Casinos"
"100","Cell phone distribution"
"101","Cement"
"102","Cement mixers"
"103","Chanel"
"104","Charlotte Hornets"
